Manufacturer Part Number,Manufacturer,Digi-Key Part Number,Customer Reference,Quantity,Description
K104K15X7RF5TL2,Vishay BC Components,BC1084CT-ND,"C1,C2,C3",3,CAP CER 0.1UF 50V X7R RADIAL
CD14ZT0R00,Stackpole Electronics Inc,CD14ZT0R00CT-ND,R0,1,RES 0 OHM 1/4W JUMP AXIAL
RNMF14FTC330R,Stackpole Electronics Inc,S330CACT-ND,"R1-48,R104,R112",50,RES 330 OHM 1/4W 1% AXIAL
RNMF14FTC470R,Stackpole Electronics Inc,S470CACT-ND,"R107,R108",2,RES 470 OHM 1/4W 1% AXIAL
RNMF14FTC220R,Stackpole Electronics Inc,S220CACT-ND,R49-96,48,RES 220 OHM 1/4W 1% AXIAL
RNMF14FTC10K0,Stackpole Electronics Inc,S10KCACT-ND,R97-R102,6,RES 10K OHM 1/4W 1% AXIAL
PEC10DBAN,Sullins Connector Solutions,S2112E-10-ND,"J1,J2",2,CONN HEADER R/A 20POS 2.54MM
PPPC041LGBN-RC,Sullins Connector Solutions,S5479-ND,J4,1,CONN HDR 4POS 0.1 GOLD PCB R/A
PPPC081LGBN-RC,Sullins Connector Solutions,S5483-ND,J5,1,CONN HDR 8POS 0.1 GOLD PCB R/A
ROB-09238,SparkFun Electronics,1568-1105-ND,"M1,M2",2,STEPPER MOTOR HYBRID BIPOLAR 12V
LTL-30EHJ,Lite-On Inc.,160-1057-ND,D1-D48,48,LED GRN/RED DIFFUSED T-1 3/4 T/H
151031SS04000,Wurth Electronics Inc.,732-5005-ND,"D49,D50",2,LED RED DIFFUSED 3MM ROUND T/H
ED281DT,On Shore Technology Inc.,ED3050-5-ND,U1-U6,6,CONN IC DIP SOCKET 28POS TIN
MCP23017-E/SP,Microchip Technology,MCP23017-E/SP-ND,U1-U6,6,IC I/O EXPANDER I2C 16B 28SDIP
OPB804 ,TT Electronics/Optek Technology,365-1017-ND,"U7,U9",2,OPB804 SENSOR OPT SLOT PHOTOTRAN PCB MT
LM393P,Texas Instruments,296-1398-5-ND,U8,1,LM393 IC DUAL DIFF COMP 8-DIP
